date,game visitor,chief,crew1,crew2
1216,Detroit,Kevin Scott,Tyler Ford,Robert Hussey
1216,Philadelphia,Pat Fraher,Tom Washington,Natalie Sago
1216,New York,Ben Taylor,Brian Forte,Scott Twardoski
1216,Washington,Tre Maddox,Mitchell Ervin,Phenizee Ransom
1217,Miami,Eric Lewis,J.T. Orr,Tyler Ricks
1217,Denver,Josh Tiven,Sean Corbin,Justin Van Duyne
1217,Golden State,James Capers,Tyler Ford,Gediminas Petraitis
1217,L.A. Lakers,John Goble,Dedric Taylor,Jonathan Sterling
1217,San Antonio,Kane Fitzgerald,Brent Barnaky,Cheryl Flores
1217,Milwaukee,Tony Brothers,Nick Buchert,Danielle Scott
1217,Charlotte,Marc Davis,JB DeRosa,Mousa Dagher
1217,Memphis,Zach Zarba,Eric Dalen,Bennie Adams
1218,Houston,Tom Washington,Kevin Cutler,Andy Nagy
1218,Orlando,Kevin Scott,Derrick Collins,Evan Scott
1218,Golden State,Sean Wright,Natalie Sago,John Conley
1218,LA Clippers,James Williams,Tre Maddox,Suyash Mehta
1218,New York,Ed Malloy,Jacyn Goble,Marat Kogut
1218,Cleveland,Brian Forte,Karl Lane,Jonathan Sterling
1218,Washington,Ben Taylor,Brandon Adair,CJ Washington
1219,L.A. Lakers,Tony Brothers,Tyler Ford,Jenna Schroeder
1219,Miami,Sean Corbin,Dedric Taylor,Phenizee Ransom
1219,Portland,Curtis Blair,Michael Smith,Mitchell Ervin
1219,San Antonio,Marc Davis,Leon Wood,John Butler
1219,Dallas,Rodney Mott,JB DeRosa,Justin Van Duyne
1219,Charlotte,Bill Kennedy,Brent Barnaky,
1220,Philadelphia,Sean Wright,Marat Kogut,Suyash Mehta
1220,Houston,James Williams,Jacyn Goble,Natalie Sago
1220,Oklahoma City,Kevin Scott,Aaron Smith,Brandon Schwab
1220,Charlotte,Pat Fraher,J.T. Orr,Brett Nansel
1220,Sacramento,Ben Taylor,CJ Washington,
1220,San Antonio,Josh Tiven,Brandon Adair,Scott Twardoski
1221,Indiana,Kane Fitzgerald,Curtis Blair,Nick Buchert
1221,Detroit,James Capers,Lauren Holtkamp,Matt Boland
1221,Portland,Rodney Mott,Kevin Cutler,John Conley
1221,Minnesota,Eric Lewis,Karl Lane,John Butler
1221,Phoenix,Josh Tiven,Ben Taylor,Brandon Adair
1222,Orlando,David Guthrie,Jacyn Goble,Gediminas Petraitis
1222,Cleveland,Tom Washington,Matt Boland,Suyash Mehta
1222,Houston,Ed Malloy,Mitchell Ervin,Evan Scott
1222,Denver,Bill Kennedy,Dedric Taylor,Phenizee Ransom
1222,LA Clippers,Pat Fraher,Justin Van Duyne,J.T. Orr
1223,Houston,Sean Corbin,Lauren Holtkamp,John Conley
1223,New Orleans,Kane Fitzgerald,Brent Barnaky,Brandon Schwab
1223,Atlanta,James Williams,Michael Smith,Aaron Smith
1223,Detroit,Eric Lewis,Gediminas Petraitis,Jonathan Sterling
1223,Washington,Sean Wright,Natalie Sago,Danielle Scott
1223,Milwaukee,John Goble,Ray Acosta,Phenizee Ransom
1223,Charlotte,Ben Taylor,Karl Lane,Mousa Dagher
1223,Oklahoma City,Tony Brothers,J.T. Orr,John Butler
1223,Minnesota,Rodney Mott,Derek Richardson,Scott Twardoski
1223,Memphis,Josh Tiven,Kevin Cutler,Marat Kogut
1223,San Antonio,Tre Maddox,Justin Van Duyne,Brett Nansel
1225,Atlanta,Ed Malloy,Eric Dalen,Brandon Adair
1225,Boston,John Goble,Nick Buchert,Natalie Sago
1225,Golden State,David Guthrie,Curtis Blair,Ray Acosta
1225,Brooklyn,Kevin Cutler,Derek Richardson,Mousa Dagher
1225,Dallas,Tony Brothers,Dedric Taylor,John Butler
1226,Orlando,Ben Taylor,Jason Goldenberg,Dannica Mosher
1226,Toronto,Sean Corbin,Brent Barnaky,Jenna Schroeder
1226,Philadelphia,Tom Washington,Karl Lane,JD Ralls
1226,Memphis,Tyler Ford,Derek Richardson,Cheryl Flores
1226,New Orleans,Eric Lewis,Derrick Collins,Lauren Holtkamp
1226,Detroit,Sean Wright,Jenna Reneau,
1226,Indiana,Tre Maddox,Nick Buchert,Suyash Mehta
1226,Denver,Bill Kennedy,Curtis Blair,Mousa Dagher
1227,Houston,Josh Tiven,Natalie Sago,Suyash Mehta
1227,Chicago,John Goble,CJ Washington,Matt Myers
1227,Boston,Mark Lindsay,Brent Barnaky,Matt Boland
1227,Utah,Sean Wright,Karl Lane,Blanca Burns
1227,Memphis,Kevin Cutler,Derrick Collins,John Butler
1227,Dallas,Ray Acosta,Scott Twardoski,Cheryl Flores
1227,Brooklyn,David Guthrie,Dedric Taylor,Jonathan Sterling
1228,Milwaukee,Sean Corbin,Natalie Sago,CJ Washington
1228,Washington,Ed Malloy,Lauren Holtkamp,Jenna Schroeder
1228,Philadelphia,Tre Maddox,Brett Nansel,JD Ralls
1228,L.A. Lakers,Eric Lewis,Brandon Adair,Brent Haskill
1228,New York,Courtney Kirkland,Matt Boland,Matt Myers
1228,Cleveland,Ben Taylor,Jason Goldenberg,Jenna Reneau
1228,Denver,Kevin Scott,Nick Buchert,John Butler
1228,Oklahoma City,Tyler Ford,Ray Acosta,Mousa Dagher
1229,New York,Bill Kennedy,Scott Twardoski,Jason Goldenberg
1229,Charlotte,Mark Lindsay,Brent Barnaky,Jenna Schroeder
1229,LA Clippers,Josh Tiven,Andy Nagy,JD Ralls
1229,Atlanta,Eric Lewis,Ben Taylor,Brett Nansel
1229,L.A. Lakers,John Goble,Brandon Adair,Blanca Burns
1229,Oklahoma City,Kevin Scott,Mousa Dagher,
1229,Utah,David Guthrie,Nick Buchert,Cheryl Flores
1229,Dallas,Derrick Collins,Jonathan Sterling,Dannica Mosher
1230,Philadelphia,Courtney Kirkland,Mark Lindsay,Suyash Mehta
1230,Milwaukee,Ed Malloy,CJ Washington,Blanca Burns
1230,Cleveland,Kevin Cutler,Lauren Holtkamp,Matt Myers
1231,Phoenix,Bill Kennedy,Scott Twardoski,Tyler Mirkovich
1231,Chicago,Brent Barnaky,Natalie Sago,Andy Nagy
1231,Dallas,David Guthrie,Nick Buchert,Brent Haskill
1231,Miami,John Goble,Brandon Adair,Cheryl Flores
1231,Atlanta,Josh Tiven,Matt Boland,Clare Aubry
1231,LA Clippers,Ben Taylor,Ray Acosta,Suyash Mehta
1231,San Antonio,Sean Corbin,Leon Wood,JD Ralls
1231,New York,Eric Lewis,Brett Nansel,Pat O'Connell
1231,Minnesota,Tyler Ford,Jonathan Sterling,Dannica Mosher
1231,Portland,Kevin Scott,Derrick Collins,Jenna Reneau
101,New Orleans,Mark Lindsay,Lauren Holtkamp,Scott Twardoski
101,San Antonio,Kevin Cutler,Natalie Sago,Sha'Rae Mitchell
101,Chicago,Matt Boland,Bennie Adams,Jason Goldenberg
101,LA Clippers,Josh Tiven,Ray Acosta,Blanca Burns
101,Denver,Courtney Kirkland,CJ Washington,Cheryl Flores
101,Golden State,Derrick Collins,Jonathan Sterling,Brent Haskill
102,New York,Sean Wright,Matt Myers,Andy Nagy
102,Orlando,Tyler Ford,Mousa Dagher,Sha'Rae Mitchell
102,Indiana,Bill Kennedy,Brandon Adair,Robert Hussey
102,Miami,Kevin Scott,Brett Nansel,Matt Kallio
102,Phoenix,Sean Corbin,Suyash Mehta,JD Ralls
102,Dallas,Brent Barnaky,Leon Wood,Dannica Mosher
102,Minnesota,Tre Maddox,Nick Buchert,Jenna Reneau
103,Houston,Kevin Cutler,Brandon Adair,Andy Nagy
103,Charlotte,Josh Tiven,Matt Myers,Tyler Ricks
103,Memphis,Ben Taylor,Ray Acosta,Robert Hussey
103,Orlando,Marc Davis,Jonathan Sterling,Dannica Mosher
103,Detroit,Pat Fraher,Bennie Adams,Pat O'Connell
103,Utah,Courtney Kirkland,Lauren Holtkamp,Blanca Burns
103,Denver,Ed Malloy,Natalie Sago,Brent Haskill
103,Miami,Zach Zarba,Nick Buchert,Scott Twardoski
103,Atlanta,Kevin Scott,JB DeRosa,Matt Kallio
103,Minnesota,Derrick Collins,Jacyn Goble,Cheryl Flores
104,Memphis,Tyler Ford,Ray Acosta,Jenna Reneau
104,San Antonio,Bill Kennedy,Jonathan Sterling,Mousa Dagher
104,Indiana,Josh Tiven,Jason Goldenberg,Sha'Rae Mitchell
104,Phoenix,Sean Corbin,Marat Kogut,Blanca Burns
104,Sacramento,Brian Forte,JB DeRosa,CJ Washington
105,Detroit,Kane Fitzgerald,Brandon Adair,JD Ralls
105,Philadelphia,Scott Wall,Jason Goldenberg,Clare Aubry
105,Houston,Sean Wright,Mousa Dagher,Suyash Mehta
105,San Antonio,Ben Taylor,Leon Wood,Tyler Ricks
105,Brooklyn,James Williams,Tyler Ford,Isaac Barnett
105,Golden State,Marc Davis,Marat Kogut,Brandon Schwab
105,Toronto,Pat Fraher,Gediminas Petraitis,Andy Nagy
105,Oklahoma City,Ed Malloy,Brent Haskill,#VALUE!
105,Utah,Zach Zarba,Phenizee Ransom,John Conley
105,Miami,Derek Richardson,Bennie Adams,Matt Kallio
105,Atlanta,Tre Maddox,Jacyn Goble,CJ Washington
106,Boston,Pat Fraher,Derrick Collins,Evan Scott
106,Detroit,Marc Davis,Lauren Holtkamp,Brandon Schwab
106,Golden State,Kane Fitzgerald,JB DeRosa,Matt Myers
106,LA Clippers,Zach Zarba,Brian Forte,Phenizee Ransom
107,San Antonio,Michael Smith,Scott Wall,Jason Goldenberg
107,Milwaukee,Tom Washington,Marat Kogut,Scott Twardoski
107,Utah,Derrick Collins,Mitchell Ervin,JD Ralls
107,Washington,James Williams,Nick Buchert,John Conley
107,Dallas,Ben Taylor,JB DeRosa,Matt Myers
107,Minnesota,Josh Tiven,Andy Nagy,Clare Aubry
107,Sacramento,Brian Forte,Suyash Mehta,Jenna Schroeder
107,Atlanta,Courtney Kirkland,Ray Acosta,Bennie Adams
107,Cleveland,Ed Malloy,Jacyn Goble,CJ Washington
108,Memphis,Sean Wright,Leon Wood,Derek Richardson
108,Milwaukee,Kane Fitzgerald,Lauren Holtkamp,Blanca Burns
108,Orlando,James Williams,Gediminas Petraitis,John Conley
108,Utah,Tyler Ford,Marat Kogut,Jason Goldenberg
108,New York,Pat Fraher,Aaron Smith,Jenna Reneau
108,Miami,Bill Kennedy,Ray Acosta,Brandon Schwab
109,Atlanta,Ed Malloy,Justin Van Duyne,Natalie Sago
109,Washington,Derrick Collins,Michael Smith,Andy Nagy
109,New Orleans,Zach Zarba,Mitchell Ervin,Gediminas Petraitis
109,Minnesota,Marc Davis,Brandon Adair,John Butler
109,Denver,Brian Forte,Eric Dalen,Jenna Schroeder
109,San Antonio,Rodney Mott,Nick Buchert,Scott Twardoski
109,Chicago,Josh Tiven,Ben Taylor,CJ Washington
109,Cleveland,Sean Wright,Bennie Adams,Brandon Schwab
109,Sacramento,Courtney Kirkland,Phenizee Ransom,Pat O'Connell
109,Memphis,Tony Brothers,Jacyn Goble,Suyash Mehta
110,Brooklyn,Tony Brothers,Derek Richardson,Phenizee Ransom
110,Milwaukee,Ben Taylor,Scott Twardoski,John Conley
110,Utah,Tom Washington,JB DeRosa,Jenna Reneau
110,Indiana,James Williams,Mitchell Ervin,Nick Buchert
110,San Antonio,Tyler Ford,Scott Wall,Matt Myers
110,Cleveland,Bill Kennedy,Ray Acosta,Sha'Rae Mitchell
110,Philadelphia,Marc Davis,Eric Dalen,Jenna Schroeder
111,Detroit,Brian Forte,Michael Smith,Evan Scott
111,Oklahoma City,Karl Lane,Gediminas Petraitis,John Butler
111,Phoenix,Rodney Mott,Aaron Smith,John Conley
111,Golden State,Zach Zarba,Curtis Blair,Natalie Sago
111,Minnesota,Brent Barnaky,Brandon Adair,Suyash Mehta
111,Denver,Courtney Kirkland,J.T. Orr,Justin Van Duyne
112,Boston,Ed Malloy,Mitchell Ervin,Danielle Scott
112,Charlotte,Derrick Collins,Nick Buchert,JD Ralls
112,Orlando,Marc Davis,Jacyn Goble,Tyler Ricks
112,Miami,Scott Foster,Dedric Taylor,Blanca Burns
112,Dallas,David Guthrie,Mark Lindsay,Scott Twardoski
112,Houston,Tyler Ford,Matt Boland,Brandon Schwab
112,Cleveland,Tony Brothers,Eric Dalen,Phenizee Ransom
112,Brooklyn,James Williams,Karl Lane,Jason Goldenberg
112,L.A. Lakers,Sean Wright,Justin Van Duyne,Derek Richardson
113,Golden State,John Goble,Brian Forte,Aaron Smith
113,Minnesota,Bill Kennedy,JB DeRosa,CJ Washington
113,LA Clippers,Curtis Blair,Brandon Adair,Jenna Schroeder
113,Oklahoma City,Zach Zarba,Derrick Collins,Jenna Reneau
113,Portland,James Capers,Tre Maddox,Bennie Adams
114,Orlando,Scott Foster,Natalie Sago,Danielle Scott
114,Toronto,Ed Malloy,Jason Goldenberg,Dannica Mosher
114,Phoenix,Tom Washington,J.T. Orr,John Butler
114,Boston,Marc Davis,Mark Lindsay,Ray Acosta
114,Atlanta,Ben Taylor,Scott Wall,Evan Scott
114,Golden State,David Guthrie,Mitchell Ervin,Matt Boland
114,Cleveland,Karl Lane,Brent Barnaky,JD Ralls
114,Dallas,Courtney Kirkland,JB DeRosa,Gediminas Petraitis
114,Houston,Kevin Cutler,Eric Dalen,Phenizee Ransom
115,Toronto,Tyler Ford,Brandon Adair,Bennie Adams
115,Portland,Tony Brothers,Natalie Sago,Matt Myers
115,New York,James Williams,Tre Maddox,Brett Nansel
115,New Orleans,Bill Kennedy,Jacyn Goble,Tyler Ricks
115,Philadelphia,Curtis Blair,Ben Taylor,Brandon Schwab
115,Cleveland,James Capers,Matt Boland,Matt Kallio
115,Chicago,Mark Lindsay,Derrick Collins,J.T. Orr
115,LA Clippers,Karl Lane,Michael Smith,Aaron Smith
115,L.A. Lakers,John Goble,Dedric Taylor,Scott Twardoski
115,Orlando,Sean Wright,Justin Van Duyne,CJ Washington
116,Phoenix,Kevin Cutler,Gediminas Petraitis,Evan Scott
116,Houston,David Guthrie,Brent Barnaky,Mousa Dagher
116,Golden State,Scott Foster,JB DeRosa,Dannica Mosher
116,Utah,Tom Washington,Derek Richardson,John Butler
117,New Orleans,Tre Maddox,Jason Goldenberg,Evan Scott
117,Charlotte,Marc Davis,Jacyn Goble,J.T. Orr
117,Philadelphia,James Capers,Tyler Ford,Phenizee Ransom
117,Brooklyn,Courtney Kirkland,Marat Kogut,Brett Nansel
117,Chicago,Kane Fitzgerald,Ben Taylor,Matt Myers
117,Indiana,John Goble,Dedric Taylor,Scott Twardoski
117,Milwaukee,Sean Wright,Curtis Blair,Gediminas Petraitis
117,Portland,Zach Zarba,Ray Acosta,Robert Hussey
117,Toronto,Bill Kennedy,Mark Lindsay,Tyler Ricks
117,Oklahoma City,James Williams,Mitchell Ervin,Suyash Mehta
117,Phoenix,Kevin Cutler,Eric Dalen,CJ Washington
117,Utah,David Guthrie,Michael Smith,Scott Wall
118,Minnesota,Ed Malloy,Brian Forte,Bennie Adams
118,Detroit,Tony Brothers,Brent Barnaky,Scott Twardoski
119,Orlando,Tre Maddox,Aaron Smith,Jenna Schroeder
119,Brooklyn,Ben Taylor,Mitchell Ervin,Jonathan Sterling
119,Minnesota,Bill Kennedy,Mark Lindsay,Matt Boland
119,Charlotte,Curtis Blair,Tyler Ford,Natalie Sago
119,Portland,Courtney Kirkland,Eric Dalen,Mousa Dagher
119,Cleveland,Zach Zarba,Jacyn Goble,CJ Washington
119,Memphis,James Capers,Brian Forte,Brett Nansel
119,Toronto,Tom Washington,Marat Kogut,Andy Nagy
119,Oklahoma City,Kane Fitzgerald,Leon Wood,Justin Van Duyne
119,Houston,Pat Fraher,Dedric Taylor,Brandon Schwab
119,LA Clippers,James Williams,JB DeRosa,Brandon Adair
119,Detroit,John Goble,Michael Smith,Scott Wall
119,Indiana,Tony Brothers,Brent Barnaky,Derek Richardson
120,New Orleans,Sean Wright,Mitchell Ervin,Ray Acosta
120,Phoenix,Marc Davis,Ed Malloy,Justin Van Duyne
120,Indiana,David Guthrie,Kevin Cutler,Brandon Schwab
121,Oklahoma City,Mark Lindsay,Matt Boland,Matt Myers
121,L.A. Lakers,Courtney Kirkland,Lauren Holtkamp,Marat Kogut
121,LA Clippers,Zach Zarba,Gediminas Petraitis,J.T. Orr
121,Miami,Kane Fitzgerald,Leon Wood,Jason Goldenberg
121,Portland,Bill Kennedy,Jacyn Goble,Brett Nansel
121,Toronto,Scott Foster,Eric Dalen,Aaron Smith
121,Chicago,Josh Tiven,Natalie Sago,John Butler
121,Brooklyn,Tony Brothers,Tre Maddox,Danielle Scott
121,Memphis,Pat Fraher,Karl Lane,Scott Wall
121,Detroit,James Williams,JB DeRosa,Brandon Adair
121,Houston,John Goble,Michael Smith,Evan Scott
122,Oklahoma City,Ed Malloy,Tom Washington,J.T. Orr
122,Sacramento,Zach Zarba,Eric Dalen,John Butler
122,Indiana,James Capers,JB DeRosa,Brandon Adair
123,LA Clippers,Josh Tiven,Matt Boland,Danielle Scott
123,Boston,David Guthrie,Marat Kogut,Matt Myers
123,L.A. Lakers,James Williams,Dedric Taylor,Phenizee Ransom
123,Chicago,Tyler Ford,Leon Wood,Aaron Smith
123,Portland,Brian Forte,Brent Barnaky,CJ Washington
123,Atlanta,Sean Wright,Jacyn Goble,Gediminas Petraitis
123,Philadelphia,Ben Taylor,Ray Acosta,Brandon Schwab
123,Memphis,Tony Brothers,Michael Smith,Scott Twardoski
123,Brooklyn,Curtis Blair,Kevin Cutler,Jason Goldenberg
123,Detroit,Eric Lewis,Derek Richardson,Andy Nagy
123,Utah,Pat Fraher,Karl Lane,Bennie Adams
124,New York,Curtis Blair,Scott Wall,Justin Van Duyne
124,Indiana,John Goble,Tyler Ford,Lauren Holtkamp
124,Utah,Kane Fitzgerald,JB DeRosa,Jonathan Sterling
124,Chicago,Marc Davis,Derek Richardson,Suyash Mehta
125,New Orleans,Ben Taylor,Mark Lindsay,Phenizee Ransom
125,Denver,Brent Barnaky,Leon Wood,Mousa Dagher
125,Charlotte,Kevin Cutler,Dedric Taylor,Danielle Scott
125,LA Clippers,Sean Wright,Natalie Sago,Ray Acosta
125,Sacramento,James Capers,Brian Forte,CJ Washington
125,L.A. Lakers,David Guthrie,Tom Washington,Matt Boland
125,San Antonio,Pat Fraher,Gediminas Petraitis,Scott Twardoski
125,Dallas,Eric Lewis,Tre Maddox,Jonathan Sterling
125,Minnesota,Karl Lane,JB DeRosa,Matt Kallio
126,Denver,Sean Wright,Derek Richardson,Ray Acosta
126,Toronto,Tony Brothers,Michael Smith,Aaron Smith
126,Milwaukee,Ben Taylor,Brent Barnaky,Jenna Schroeder
126,Charlotte,David Guthrie,Marat Kogut,Mousa Dagher
126,LA Clippers,Mark Lindsay,Justin Van Duyne,Natalie Sago
126,Sacramento,Tyler Ford,Lauren Holtkamp,Evan Scott
126,New York,John Goble,Gediminas Petraitis,Suyash Mehta
126,Memphis,Marc Davis,Curtis Blai,Bennie Adams
126,Phoenix,Eric Lewis,Jacyn Goble,Jason Goldenberg
126,Dallas,Kane Fitzgerald,Mitchell Ervin,J.T. Orr
127,L.A. Lakers,James Capers,Kevin Cutler,Leon Wood
127,Minnesota,James Williams,Derrick Collins,Brett Nansel
128,Denver,Brent Barnaky,Natalie Sago,Phenizee Ransom
128,L.A. Lakers,Tony Brothers,Tyler Ford,Bennie Adams
128,Detroit,Kevin Scott,Jonathan Sterling,John Butler
128,Boston,Josh Tiven,Tom Washington,Scott Wall
128,LA Clippers,David Guthrie,Karl Lane,Matt Myers
128,Portland,Ben Taylor,Matt Boland,Evan Scott
128,Utah,Pat Fraher,Dedric Taylor,Suyash Mehta
128,Indiana,Mark Lindsay,J.T. Orr,Jason Goldenberg
128,Chicago,Curtis Blair,Jacyn Goble,Mousa Dagher
128,Minnesota,Tre Maddox,Mitchell Ervin,Scott Twardoski
128,New York,Eric Lewis,Michael Smith,Marat Kogut
129,Boston,Kevin Cutler,Natalie Sago,Andy Nagy
129,Indiana,Curtis Blair,JB DeRosa,Ray Acosta
129,Sacramento,James Capers,Derek Richardson,Aaron Smith
129,Toronto,Kevin Scott,Matt Boland,Jonathan Sterling
129,Washington,John Goble,Derrick Collins,Evan Scott
129,Brooklyn,Kane Fitzgerald,Brian Forte,Justin Van Duyne
130,L.A. Lakers,Tony Brothers,Karl Lane,John Butler
130,LA Clippers,Josh Tiven,Tom Washington,Jenna Schroeder
130,Portland,David Guthrie,Dedric Taylor,Robert Hussey
130,Cleveland,Pat Fraher,Nick Buchert,Brandon Schwab
130,Dallas,Ben Taylor,Ray Acosta,Bennie Adams
130,Denver,Marc Davis,Mark Lindsay,J.T. Orr
130,Utah,Tyler Ford,Jason Goldenberg,Phenizee Ransom
130,San Antonio,James Williams,Brian Forte,Leon Wood
131,New Orleans,Marc Davis,Karl Lane,Nate Green
131,LA Clippers,Pat Fraher,JB DeRosa,Nick Buchert
131,Memphis,Eric Lewis,Brent Barnaky,Matt Boland
131,Miami,Sean Wright,Marat Kogut,Aaron Smith
131,Sacramento,Tony Brothers,Tre Maddox,Gediminas Petraitis
131,Golden State,Kevin Scott,Jacyn Goble,Andy Nagy
131,Portland,Kevin Cutler,Derek Richardson,Brett Nansel
131,Toronto,John Goble,Mitchell Ervin,Matt Myers
201,New Orleans,Josh Tiven,Scott Twardoski,J.T. Orr
201,Washington,James Williams,Matt Boland,Jonathan Sterling
201,Orlando,James Capers,Brent Barnaky,Lauren Holtkamp
201,Denver,Brian Forte,JB DeRosa,Danielle Scott
201,Golden State,Mark Lindsay,Tom Washington,Mousa Dagher
201,Brooklyn,Curtis Blair,Dedric Taylor,Natalie Sago
201,Miami,Kane Fitzgerald,Gediminas Petraitis,Bennie Adams
202,Orlando,Tony Brothers,Scott Wall,Andy Nagy
202,Washington,Marc Davis,Karl Lane,Nate Green
202,Charlotte,Eric Lewis,Mitchell Ervin,Phenizee Ransom
202,Memphis,Sean Wright,Tyler Ford,J.T. Orr
202,Cleveland,Courtney Kirkland,Ray Acosta,Brett Nansel
202,Oklahoma City,Ben Taylor,Nick Buchert,Jonathan Sterling
202,Denver,David Guthrie,Justin Van Duyne,Eric Dalen
202,Brooklyn,Bill Kennedy,Jacyn Goble,John Butler
202,Portland,Curtis Blair,Leon Wood,Jason Goldenberg
203,Chicago,Kane Fitzgerald,JB DeRosa,Jenna Schroeder
203,Miami,Kevin Cutler,Natalie Sago,Brett Nansel
203,Minnesota,Marc Davis,Marat Kogut,Andy Nagy
203,Phoenix,Ed Malloy,Brian Forte,Nate Green
203,Sacramento,David Guthrie,Dedric Taylor,Jason Goldenberg
203,L.A. Lakers,Zach Zarba,Jacyn Goble,Aaron Smith
204,Cleveland,Brian Forte,Marat Kogut,Matt Boland
204,Boston,James Capers,Brent Barnaky,Scott Wall
204,Chicago,John Goble,Tyler Ford,Gediminas Petraitis
204,Atlanta,Pat Fraher,Mark Lindsay,JB DeRosa
204,Philadelphia,Courtney Kirkland,Ben Taylor,Natalie Sago
204,Houston,Sean Wright,Kevin Cutler,Jonathan Sterling
204,Brooklyn,Zach Zarba,Derek Richardson,Ray Acosta
204,New Orleans,Curtis Blair,Leon Wood,John Butler
204,Oklahoma City,Scott Foster,Eric Dalen,J.T. Orr
205,Memphis,Kane Fitzgerald,Mitchell Ervin,Brandon Adair
205,Miami,Ed Malloy,Nick Buchert,Brandon Schwab
205,Phoenix,Tony Brothers,Tom Washington,Scott Twardoski
205,New York,David Guthrie,Dedric Taylor,Justin Van Duyne
205,Milwaukee,Bill Kennedy,Jacyn Goble,Aaron Smith
205,Oklahoma City,Josh Tiven,Lauren Holtkamp,Bennie Adams
206,Philadelphia,Curtis Blair,Marat Kogut,Matt Boland
206,Detroit,Zach Zarba,Eric Dalen,Matt Myers
206,Brooklyn,Kevin Scott,Tyler Ford,Gediminas Petraitis
206,Indiana,Pat Fraher,Mark Lindsay,Jason Goldenberg
206,Boston,Marc Davis,Nick Buchert,Brandon Schwab
206,Atlanta,John Goble,Kevin Cutler,Brent Barnaky
206,New Orleans,Brian Forte,Jonathan Sterling,Danielle Scott
206,Milwaukee,Scott Foster,Ray Acosta,Brett Nansel
207,Toronto,Marc Davis,Justin Van Duyne,Brandon Adair
207,Miami,Eric Lewis,Mitchell Ervin,Derek Richardson
207,Phoenix,David Guthrie,Leon Wood,Evan Scott
207,Golden State,Ed Malloy,Natalie Sago,Danielle Scott
207,New York,Josh Tiven,Lauren Holtkamp,Aaron Smith
208,Phoenix,John Goble,Eric Dalen,Brandon Adair
208,Indiana,Zach Zarba,Mitchell Ervin,Justin Van Duyne
208,Boston,Pat Fraher,JB DeRosa,Andy Nagy
208,LA Clippers,Ben Taylor,Bill Kennedy,Matt Myers
208,Houston,Mark Lindsay,Nick Buchert,Phenizee Ransom
208,Detroit,Brian Forte,Jacyn Goble,Jason Goldenberg
208,New York,James Capers,Kevin Cutler,Jonathan Sterling
208,Milwaukee,Josh Tiven,Gediminas Petraitis,Scott Twardoski
208,Orlando,Tyler Ford,Ray Acosta,Nate Green
208,Minnesota,Kevin Scott,Brent Barnaky,Brett Nansel
209,San Antonio,Ed Malloy,Natalie Sago,Aaron Smith
209,Chicago,Courtney Kirkland,Michael Smith,Derek Richardson
209,Toronto,Karl Lane,Dedric Taylor,Evan Scott
209,Golden State,Kane Fitzgerald,Derrick Collins,Jonathan Sterling
209,L.A. Lakers,Kevin Scott,Brent Barnaky,Brett Nansel
209,Minnesota,Tyler Ford,J.T. Orr,Danielle Scott
210,Memphis,Scott Foster,Natalie Sago,Brandon Schwab
210,Brooklyn,Ben Taylor,Mark Lindsay,Suyash Mehta
210,Miami,Marc Davis,Jacyn Goble,Jason Goldenberg
210,Toronto,Bill Kennedy,Gediminas Petraitis,Matt Myers
210,LA Clippers,James Williams,Lauren Holtkamp,Mousa Dagher
210,Milwaukee,James Capers,Derrick Collins,Marat Kogut
210,New York,Eric Lewis,Scott Twardoski,Nate Green
211,Charlotte,Karl Lane,Nick Buchert,Leon Wood
211,Cleveland,Ben Taylor,Dedric Taylor,Suyash Mehta
211,Oklahoma City,Courtney Kirkland,Michael Smith,Phenizee Ransom
211,San Antonio,Curtis Blair,Brian Forte,John Butler
211,Denver,Zach Zarba,Derek Richardson,Ray Acosta
211,Minnesota,Kane Fitzgerald,JB DeRosa,Eric Dalen
211,Orlando,Kevin Scott,Brent Barnaky,Andy Nagy
212,New York,Ed Malloy,Derrick Collins,Mousa Dagher
212,Memphis,James Williams,Gediminas Petraitis,Jonathan Sterling
212,Sacramento,Josh Tiven,Ray Acosta,Jason Goldenberg
212,San Antonio,Bill Kennedy,Lauren Holtkamp,Brandon Schwab
212,Cleveland,Scott Foster,JB DeRosa,Justin Van Duyne
212,Denver,Zach Zarba,Eric Dalen,Brett Nansel
212,Brooklyn,John Goble,Brian Forte,Aaron Smith
212,Oklahoma City,Pat Fraher,Nick Buchert,Jenna Schroeder
212,LA Clippers,Curtis Blair,Kevin Cutler,Scott Twardoski
212,L.A. Lakers,James Capers,Kevin Scott,Marat Kogut
212,Orlando,Eric Lewis,Mitchell Ervin,Matt Boland
213,Atlanta,Kane Fitzgerald,Karl Lane,Brandon Adair
213,Minnesota,Marc Davis,Derek Richardson,Leon Wood
214,Detroit,James Williams,Dedric Taylor,Aaron Smith
214,Sacramento,Courtney Kirkland,Michael Smith,Evan Scott
214,Oklahoma City,John Goble,Ben Taylor,Phenizee Ransom
214,San Antonio,Scott Foster,Lauren Holtkamp,Brett Nansel
214,Portland,Zach Zarba,Eric Dalen,Suyash Mehta
214,Toronto,Josh Tiven,Derrick Collins,John Butler
214,Orlando,Pat Fraher,Mark Lindsay,Danielle Scott
214,Houston,Eric Lewis,Kevin Cutler,Jenna Schroeder
214,Golden State,Ed Malloy,Mitchell Ervin,Matt Boland
215,Cleveland,Kevin Scott,Leon Wood,Phenizee Ransom
