Rk,Player,Team,Streak,Streak Started,Streak Ended,Active,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TpDbs,DbDbs,TOV,PF,PTS,GmSc,+/-,BPM,Ind. Games Link,Player-additional
106,RJ Barrett,NYK,2,2022-01-10,2022-01-12,,2,2,72,25,42,.595,18,31,.581,7,11,.636,6,7,.857,.699,1,9,10,6,0,1,0,0,3,4,63,23.5,33,10.1,Games List,barrerj01
107,Donovan Mitchell,UTA,2,2022-01-08,2022-01-10,,2,2,74,24,52,.462,15,32,.469,9,20,.450,10,11,.909,.589,1,4,5,13,3,0,0,0,6,10,67,21.9,-25,2.8,Games List,mitchdo01
108,Fred VanVleet,TOR,2,2022-01-07,2022-01-09,,2,2,75,23,49,.469,11,20,.550,12,29,.414,11,11,1.000,.641,4,10,14,14,4,1,1,1,4,1,69,29.9,-1,16.0,Games List,vanvlfr01
109,Domantas Sabonis,IND,2,2022-01-05,2022-01-08,,2,2,76,28,35,.800,24,30,.800,4,5,.800,14,17,.824,.871,3,15,18,13,1,1,1,1,9,6,74,32.8,8,12.2,Games List,sabondo01
110,Jaylen Brown,BOS,2,2022-01-02,2022-01-05,,2,2,81,31,54,.574,22,36,.611,9,18,.500,9,11,.818,.680,0,17,17,5,3,3,0,1,10,5,80,27.8,8,9.4,Games List,brownja02
111,Trae Young,ATL,2,2021-12-31,2022-01-03,,2,2,79,28,54,.519,16,30,.533,12,24,.500,23,25,.920,.700,2,6,8,25,1,0,0,2,5,6,91,39.0,22,13.8,Games List,youngtr01
112,Hamidou Diallo,DET,2,2021-12-29,2022-01-01,,2,2,89,26,51,.510,25,45,.556,1,6,.167,12,16,.750,.560,7,20,27,8,10,2,0,2,7,8,65,27.9,11,8.9,Games List,diallha01
113,Donovan Mitchell,UTA,2,2021-12-25,2021-12-31,,2,2,73,23,47,.489,16,29,.552,7,18,.389,19,21,.905,.640,4,5,9,8,4,0,0,0,6,5,72,26.7,5,9.7,Games List,mitchdo01
114,Devin Booker,PHO,2,2021-12-27,2021-12-29,,2,2,73,22,44,.500,13,26,.500,9,18,.500,15,19,.789,.649,1,8,9,9,2,4,0,0,4,1,68,27.1,10,14.3,Games List,bookede01
115,Shai Gilgeous-Alexander,OKC,2,2021-12-26,2021-12-28,,2,2,70,20,44,.455,18,34,.529,2,10,.200,22,30,.733,.559,2,7,9,10,1,3,0,0,2,8,64,23.2,6,5.3,Games List,gilgesh01
116,Jaylen Brown,BOS,2,2021-12-20,2021-12-22,,2,2,70,21,44,.477,13,25,.520,8,19,.421,14,15,.933,.632,4,7,11,7,3,1,0,0,6,6,64,23.2,6,9.9,Games List,brownja02
117,Joel Embiid,PHI,2,2021-12-16,2021-12-20,,2,2,73,25,47,.532,23,39,.590,2,8,.250,21,25,.840,.629,0,19,19,11,3,4,0,1,7,7,73,29.0,-1,10.3,Games List,embiijo01
118,Trae Young,ATL,2,2021-12-10,2021-12-13,,2,2,72,24,49,.490,17,32,.531,7,17,.412,17,19,.895,.628,5,6,11,19,3,0,0,1,14,3,72,26.5,-1,7.4,Games List,youngtr01
119,LeBron James,LAL,2,2021-12-10,2021-12-12,,2,2,72,25,40,.625,18,27,.667,7,13,.538,6,8,.750,.724,1,15,16,16,3,5,1,1,8,4,63,28.8,33,15.4,Games List,jamesle01
